,mu,omega,alpha[1],gamma[1],beta[1]
2023-03-27,0.05223834240210437,0.042842515502404754,0.09605314567057162,0.1826017250496039,0.7934388394657798
2023-03-28,0.05079830612809221,0.04282581630951599,0.09517934182055524,0.18321245700331618,0.793934593303393
2023-03-29,0.05212603784826309,0.04240932516561134,0.09528936130853585,0.18025797542573854,0.79553797835659
2023-03-30,0.052675371041513826,0.04264310956456029,0.09566535759978598,0.18162230283304862,0.7942685419626202
2023-03-31,0.05287481854632472,0.04250353564628189,0.09474644440563268,0.18173472892044937,0.7951600535538872
2023-04-03,0.05413196875588262,0.042086675678984525,0.09523514899336308,0.17806479453209428,0.7967063127014631
2023-04-04,0.052882796339192135,0.04214441428386647,0.09374492364139615,0.18018685280662675,0.7969763941560963
2023-04-05,0.05195049557230907,0.04222237330962847,0.09235211619562379,0.1825680868901682,0.7969713023395276
2023-04-06,0.052291374824441766,0.04245261122463183,0.09294845388816841,0.18478369203713585,0.7952804834735985
2023-04-10,0.054984297168034615,0.04216374805699573,0.0917426327210716,0.18605465904506072,0.7962026328718288
2023-04-11,0.05465880196127551,0.042276075773691614,0.09266006404657309,0.1882731215393431,0.7944690453694472
2023-04-12,0.05292171867485325,0.04233780539142561,0.09339830409402668,0.18814624436473742,0.7940861923656206
2023-04-13,0.055328078106083735,0.042379616388576395,0.09277905544532795,0.18573480524228347,0.7954780852864559
2023-04-14,0.05414193042999959,0.042322276831852614,0.0920799506613308,0.1868068419450491,0.7956804760506722
2023-04-17,0.05465924413266243,0.04223523424225912,0.0921044835893809,0.18742421776992227,0.7953661411961404
2023-04-18,0.053883809166036925,0.042153678124619794,0.09175514656468299,0.18875733908295492,0.795184040399049
2023-04-19,0.05253134863369712,0.04208726394557724,0.09166850728381225,0.18998529054780566,0.794923341739713
2023-04-20,0.0517258960063995,0.0421192316726721,0.09170590565261272,0.1900133339971258,0.7949191881953523
2023-04-21,0.052176403849019046,0.04193555429254047,0.09185265947264719,0.18974005260645363,0.7949603742749871
2023-04-24,0.05260616570317438,0.041709727000892746,0.09149647372407865,0.1890259001761501,0.7956149087590267
2023-04-25,0.050351721782702454,0.042999731708401365,0.08907375965497363,0.18880332740043657,0.7970388619727383
2023-04-26,0.05221688579965982,0.04274678181636897,0.08804408255073788,0.1878846018152402,0.7984180722229126
